Timestamp,Message
2024-03-28 14:32:41,Exploring: -1 0
2024-03-28 14:32:41,Checkpoint found at: -1 0
2024-03-28 14:32:41,Exploring: -1 1
2024-03-28 14:32:41,Checkpoint found at: -1 1
2024-03-28 14:32:41,Exploring: 0 1
2024-03-28 14:32:41,Exploring: -1 1
2024-03-28 14:32:41,Exploring: 0 1
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Checkpoint found at: 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: -1 0
2024-03-28 14:32:41,Checkpoint found at: -1 0
2024-03-28 14:32:41,Exploring: -1 -1
2024-03-28 14:32:41,Checkpoint found at: -1 -1
2024-03-28 14:32:41,Exploring: -1 1
2024-03-28 14:32:41,Checkpoint found at: -1 0
2024-03-28 14:32:41,Checkpoint found at: -1 1
2024-03-28 14:32:41,Exploring: 0 1
2024-03-28 14:32:41,Exploring: -1 1
2024-03-28 14:32:41,Exploring: 0 1
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Checkpoint found at: 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0
2024-03-28 14:32:41,Exploring: 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 0
2024-03-28 14:32:41,Exploring: 1 1
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 0 1
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Checkpoint found at: 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Exploring: 1 -1 0
2024-03-28 14:32:41,Exploring: 0 -1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Checkpoint found at: 1 0
2024-03-28 14:32:41,Exploring: 1 -1 0
2024-03-28 14:32:41,Checkpoint found at: 1 -1
2024-03-28 14:32:41,Exploring: 0 -1 0
2024-03-28 14:32:41,Connected to WiFi
